schedule_ID,team1_ID,team2_ID,scheduled_date,deadline
1,7,1,"September 19, 2020 07:30PM","September 19, 2020 07:00PM"
2,3,6,"September 20, 2020 07:30PM","September 20, 2020 07:00PM"
3,5,2,"September 21, 2020 07:30PM","September 21, 2020 07:00PM"
4,4,1,"September 22, 2020 07:30PM","September 22, 2020 07:00PM"
5,8,7,"September 23, 2020 07:30PM","September 23, 2020 07:00PM"
6,6,2,"September 24, 2020 07:30PM","September 24, 2020 07:00PM"
7,1,3,"September 25, 2020 07:30PM","September 25, 2020 07:00PM"
8,8,5,"September 26, 2020 07:30PM","September 26, 2020 11:59PM"
9,4,6,"September 27, 2020 07:30PM","September 27, 2020 07:00PM"
10,2,7,"September 28, 2020 07:30PM","September 28, 2020 07:00PM"
11,3,5,"September 29, 2020 07:30PM","September 29, 2020 07:00PM"
12,4,8,"September 30, 2020 07:30PM","September 30, 2020 07:00PM"
13,6,7,"October 01, 2020 07:30PM","October 01, 2020 07:00PM"
14,1,5,"October 02, 2020 07:30PM","October 02, 2020 07:00PM"
15,2,4,"October 03, 2020 03:30PM","October 03, 2020 03:00PM"
16,3,8,"October 03, 2020 07:30PM","October 03, 2020 07:00PM"
17,7,5,"October 04, 2020 03:30PM","October 04, 2020 03:00PM"
18,6,1,"October 04, 2020 07:30PM","October 04, 2020 07:00PM"
19,2,3,"October 05, 2020 07:30PM","October 05, 2020 07:00PM"
20,7,4,"October 06, 2020 07:30PM","October 06, 2020 07:00PM"
21,8,1,"October 07, 2020 07:30PM","October 07, 2020 07:00PM"
22,5,6,"October 08, 2020 07:30PM","October 08, 2020 07:00PM"
23,4,3,"October 09, 2020 07:30PM","October 09, 2020 07:00PM"
24,6,8,"October 10, 2020 03:30PM","October 10, 2020 03:00PM"
25,1,2,"October 10, 2020 07:30PM","October 10, 2020 07:00PM"
26,5,4,"October 11, 2020 03:30PM","October 11, 2020 03:00PM"
27,7,3,"October 11, 2020 07:30PM","October 11, 2020 07:00PM"
28,2,8,"October 12, 2020 07:30PM","October 12, 2020 07:00PM"
29,5,1,"October 13, 2020 07:30PM","October 13, 2020 07:00PM"
30,3,4,"October 14, 2020 07:30PM","October 14, 2020 07:00PM"
31,2,6,"October 15, 2020 07:30PM","October 15, 2020 07:00PM"
32,7,8,"October 16, 2020 07:30PM","October 16, 2020 07:00PM"
33,4,2,"October 17, 2020 03:30PM","October 17, 2020 03:00PM"
34,3,1,"October 17, 2020 07:30PM","October 17, 2020 07:00PM"
35,5,8,"October 18, 2020 03:30PM","October 18, 2020 03:00PM"
36,7,6,"October 18, 2020 07:30PM","October 18, 2020 07:00PM"
37,1,4,"October 19, 2020 07:30PM","October 19, 2020 07:00PM"
38,6,3,"October 20, 2020 07:30PM","October 20, 2020 07:00PM"
39,8,2,"October 21, 2020 07:30PM","October 21, 2020 07:00PM"
40,4,5,"October 22, 2020 07:30PM","October 22, 2020 07:00PM"
41,1,7,"October 23, 2020 07:30PM","October 23, 2020 07:00PM"
42,8,3,"October 24, 2020 03:30PM","October 24, 2020 03:00PM"
43,6,5,"October 24, 2020 07:30PM","October 24, 2020 07:00PM"
44,2,1,"October 25, 2020 03:30PM","October 25, 2020 03:00PM"
45,4,7,"October 25, 2020 07:30PM","October 25, 2020 07:00PM"
46,8,6,"October 26, 2020 07:30PM","October 26, 2020 07:00PM"
47,5,3,"October 27, 2020 07:30PM","October 27, 2020 07:00PM"
48,7,2,"October 28, 2020 07:30PM","October 28, 2020 07:00PM"
49,1,8,"October 29, 2020 07:30PM","October 29, 2020 07:00PM"
50,6,4,"October 30, 2020 07:30PM","October 30, 2020 07:00PM"
51,3,7,"October 31, 2020 03:30PM","October 31, 2020 03:00PM"
52,2,5,"October 31, 2020 07:30PM","October 31, 2020 07:00PM"
53,1,6,"November 01, 2020 03:30PM","November 01, 2020 03:00PM"
54,8,4,"November 01, 2020 07:30PM","November 01, 2020 07:00PM"
55,3,2,"November 02, 2020 07:30PM","November 02, 2020 07:00PM"
56,5,7,"November 03, 2020 07:30PM","November 03, 2020 07:00PM"
